district,season,crop,soil,area,rainfall,temperature,yield
Salem,Summer,Millets,Loamy,7.29,30.9,28.8,1.31
Madurai,Kharif,Ragi,Clay,9.07,180.3,30.9,1.3
Thanjavur,Kharif,Banana,Loamy,3.6,66.4,23.2,4.59
Madurai,Kharif,Millets,Alluvial,0.95,159.4,29.2,0.6
Villupuram,Rabi,Chilli,Alluvial,3.48,46.0,31.5,3.2
Tiruppur,Kharif,Green Gram,Red,7.62,194.0,35.6,0.84
Tirunelveli,Summer,Coconut,Loamy,3.15,92.8,29.0,4.51
Kancheepuram,Kharif,Sugarcane,Red,7.26,254.0,21.1,5.31
Namakkal,Rabi,Coconut,Red,1.56,47.8,24.7,2.85
Madurai,Kharif,Coconut,Clay,4.57,63.3,31.0,2.65
Villupuram,Summer,Turmeric,Black,11.43,89.3,29.3,2.92
Vellore,Summer,Coconut,Alluvial,1.24,64.3,33.0,3.3
Coimbatore,Summer,Sugarcane,Alluvial,11.75,24.8,28.8,5.59
Cuddalore,Kharif,Chilli,Loamy,8.57,168.6,22.1,2.39
Villupuram,Summer,Sugarcane,Alluvial,1.02,83.9,31.5,6.29
Coimbatore,Rabi,Groundnut,Loamy,3.47,92.1,32.7,1.65
Tiruppur,Rabi,Cotton,Red,0.87,79.0,22.8,2.02
Dindigul,Summer,Ragi,Black,2.48,20.0,30.8,1.14
Madurai,Rabi,Chilli,Loamy,8.05,54.2,37.4,2.71
Tirunelveli,Summer,Sesame,Black,7.17,89.9,31.9,0.86
Erode,Rabi,Maize,Alluvial,1.49,83.9,26.9,3.93
Madurai,Rabi,Black Gram,Black,8.79,111.0,40.0,1.27
Villupuram,Rabi,Coconut,Clay,10.05,119.4,18.4,1.68
Namakkal,Kharif,Coconut,Alluvial,8.6,180.5,22.7,4.26
Dindigul,Summer,Cotton,Clay,8.3,107.2,34.6,1.01
Coimbatore,Rabi,Rice,Red,3.87,72.5,21.5,3.13
Namakkal,Kharif,Turmeric,Black,5.88,143.2,37.9,3.24
Cuddalore,Summer,Ragi,Red,1.54,81.8,41.0,1.54
Vellore,Rabi,Ragi,Red,5.9,32.8,19.2,1.87
Namakkal,Rabi,Millets,Alluvial,5.12,30.7,35.5,1.51
Vellore,Summer,Cotton,Clay,7.24,83.4,36.1,1.4
Salem,Kharif,Millets,Black,8.15,194.9,33.9,1.22
Coimbatore,Rabi,Cotton,Clay,1.87,83.4,32.4,1.24
Cuddalore,Kharif,Soybean,Red,11.85,162.0,26.9,2.07
Coimbatore,Rabi,Soybean,Black,4.75,96.2,24.4,1.81
Vellore,Kharif,Turmeric,Red,5.35,147.1,41.8,3.18
Villupuram,Kharif,Sesame,Clay,11.61,179.0,28.4,0.42
Cuddalore,Rabi,Millets,Clay,3.21,149.4,28.4,1.32
Madurai,Rabi,Sesame,Black,4.21,114.3,20.2,0.84
Kancheepuram,Summer,Sunflower,Clay,8.31,67.0,35.0,0.57
Dindigul,Kharif,Sugarcane,Alluvial,6.63,164.2,27.9,6.49
Thanjavur,Summer,Rice,Red,2.32,51.6,29.1,4.52
Coimbatore,Summer,Chilli,Black,5.81,75.9,25.7,2.7
Vellore,Rabi,Turmeric,Alluvial,9.84,44.6,24.0,4.4
Tirunelveli,Kharif,Turmeric,Loamy,6.63,80.9,20.7,3.94
Dindigul,Rabi,Maize,Clay,8.93,23.0,27.1,3.49
Namakkal,Kharif,Groundnut,Black,4.19,119.2,26.7,1.9
Dindigul,Kharif,Millets,Loamy,7.62,170.3,26.0,1.17
Tirunelveli,Summer,Rice,Black,4.09,81.8,35.6,2.35
Tiruppur,Kharif,Sugarcane,Alluvial,1.0,138.4,18.2,4.81
Vellore,Summer,Sunflower,Red,9.81,99.4,30.4,1.07
Coimbatore,Rabi,Ragi,Black,8.34,123.3,27.9,1.98
Tiruppur,Rabi,Turmeric,Alluvial,10.39,46.3,19.7,3.55
Dindigul,Kharif,Sunflower,Clay,10.36,293.9,25.0,1.05
Erode,Rabi,Soybean,Loamy,11.74,109.0,40.7,0.91
Thoothukudi,Rabi,Sugarcane,Clay,2.53,113.8,19.0,3.79
Namakkal,Kharif,Millets,Black,0.88,166.8,28.8,1.37
Thoothukudi,Kharif,Black Gram,Red,2.62,136.5,26.5,1.34
Coimbatore,Rabi,Sunflower,Clay,7.17,125.7,40.8,0.93
Coimbatore,Rabi,Maize,Loamy,2.69,114.7,33.0,2.71
Erode,Rabi,Coconut,Loamy,7.88,47.3,25.4,2.87
Erode,Summer,Sesame,Black,1.56,49.8,22.7,0.83
Vellore,Rabi,Rice,Clay,7.9,24.4,42.0,2.57
Cuddalore,Kharif,Sunflower,Alluvial,10.31,243.9,38.6,0.8
Thoothukudi,Summer,Maize,Clay,7.94,104.0,35.9,2.28
Tirunelveli,Rabi,Cotton,Red,11.38,143.8,24.3,2.0
Thoothukudi,Summer,Maize,Loamy,10.02,99.7,36.6,2.48
Thoothukudi,Rabi,Rice,Loamy,9.87,144.9,28.2,4.25
Namakkal,Kharif,Maize,Red,2.27,143.9,19.2,3.29
Cuddalore,Rabi,Black Gram,Black,6.76,54.7,28.2,1.37
Cuddalore,Kharif,Ragi,Red,5.46,79.8,33.9,1.63
Vellore,Summer,Banana,Loamy,7.76,35.2,24.4,4.81
Kancheepuram,Kharif,Sugarcane,Clay,3.49,108.0,31.5,5.41
Namakkal,Summer,Coconut,Alluvial,8.17,45.7,23.7,3.27
Coimbatore,Kharif,Millets,Red,2.62,103.9,23.0,1.43
Kancheepuram,Summer,Sugarcane,Loamy,9.64,88.8,19.9,3.11
Dindigul,Rabi,Rice,Red,5.08,46.6,20.9,2.99
Coimbatore,Summer,Soybean,Black,3.54,82.5,32.8,1.76
Tirunelveli,Kharif,Sunflower,Alluvial,2.28,151.8,27.2,1.18
Thanjavur,Kharif,Sugarcane,Loamy,8.87,262.1,18.5,3.15
Erode,Summer,Maize,Alluvial,9.01,34.3,26.8,3.69
Erode,Rabi,Soybean,Clay,6.54,152.8,40.0,0.9
Madurai,Rabi,Sesame,Alluvial,0.7,39.4,37.1,0.8
Cuddalore,Kharif,Sesame,Loamy,4.64,195.2,28.3,0.58
Cuddalore,Summer,Turmeric,Loamy,5.85,73.0,40.0,2.56
Thanjavur,Summer,Sugarcane,Black,1.92,19.4,38.8,4.58
Trichy,Kharif,Chilli,Black,9.7,165.6,21.2,2.06
Erode,Kharif,Sesame,Alluvial,7.06,81.4,21.1,0.88
Vellore,Kharif,Banana,Clay,8.42,221.3,26.4,4.38
Trichy,Kharif,Millets,Red,8.22,286.9,33.8,1.49
Salem,Rabi,Turmeric,Black,8.44,31.0,26.3,4.02
Tiruppur,Kharif,Millets,Black,4.96,209.9,25.1,1.24
Thoothukudi,Rabi,Sesame,Clay,9.83,49.8,33.7,0.77
Namakkal,Kharif,Soybean,Black,6.86,120.5,32.1,1.63
Salem,Summer,Millets,Red,8.14,101.4,34.2,1.03
Dindigul,Summer,Sunflower,Alluvial,9.83,94.1,24.4,1.26
Madurai,Kharif,Sesame,Red,1.38,115.9,30.0,1.01
Kancheepuram,Summer,Groundnut,Alluvial,5.97,54.0,25.1,1.78
Vellore,Kharif,Cotton,Loamy,5.18,145.6,20.1,1.25
Coimbatore,Rabi,Maize,Black,11.86,106.3,41.8,2.48
Thoothukudi,Summer,Sunflower,Clay,7.17,56.3,35.7,0.18
Tiruppur,Kharif,Banana,Black,7.19,90.1,19.0,3.43
Kancheepuram,Rabi,Banana,Red,1.66,31.5,35.7,2.66
Kancheepuram,Kharif,Coconut,Alluvial,11.94,151.0,27.1,3.95
Thoothukudi,Summer,Turmeric,Clay,4.35,14.3,34.4,2.89
Dindigul,Rabi,Millets,Alluvial,2.75,27.6,19.5,1.33
Tiruppur,Kharif,Turmeric,Black,7.89,261.2,32.2,3.18
Vellore,Summer,Chilli,Red,11.24,102.8,23.7,2.08
Villupuram,Kharif,Turmeric,Loamy,11.51,284.4,38.8,2.3
Erode,Kharif,Chilli,Black,8.24,107.9,36.2,1.85
Tirunelveli,Kharif,Turmeric,Alluvial,7.36,151.2,25.2,4.5
Coimbatore,Summer,Ragi,Red,9.18,39.2,41.9,0.93
Erode,Summer,Sesame,Alluvial,6.0,38.9,36.4,0.43
Thoothukudi,Kharif,Maize,Red,4.96,163.3,25.8,3.28
Coimbatore,Kharif,Sugarcane,Clay,1.78,132.1,30.0,6.62
Tirunelveli,Rabi,Soybean,Red,6.23,46.8,21.1,1.24
Tirunelveli,Summer,Chilli,Loamy,7.07,103.8,21.6,3.43
Villupuram,Kharif,Turmeric,Black,6.68,236.0,34.3,3.81
Dindigul,Rabi,Rice,Loamy,11.61,63.9,27.3,5.23
Tiruppur,Summer,Sugarcane,Black,7.97,53.6,33.0,5.83
Madurai,Rabi,Turmeric,Loamy,5.91,109.4,32.8,2.93
Namakkal,Summer,Cotton,Clay,3.6,27.0,21.3,1.13
Erode,Summer,Black Gram,Alluvial,4.18,16.0,22.9,0.79
Salem,Rabi,Cotton,Clay,3.72,104.9,28.3,1.82
Erode,Summer,Ragi,Clay,1.06,59.7,33.4,1.1
Tirunelveli,Rabi,Cotton,Clay,6.03,156.2,32.4,1.14
Tiruppur,Rabi,Sugarcane,Black,11.4,40.1,39.5,4.24
Coimbatore,Summer,Coconut,Black,11.96,60.1,34.7,2.39
Coimbatore,Rabi,Rice,Loamy,4.39,110.0,37.9,2.75
Trichy,Kharif,Maize,Black,6.73,225.3,34.6,1.96
Trichy,Summer,Soybean,Loamy,10.77,68.4,28.8,1.58
Trichy,Rabi,Sesame,Loamy,4.05,98.7,28.4,0.72
Trichy,Kharif,Turmeric,Alluvial,0.97,242.1,28.7,4.48
Tiruppur,Rabi,Black Gram,Black,7.1,157.3,36.4,1.12
Coimbatore,Rabi,Banana,Alluvial,2.62,33.0,21.3,4.46
Coimbatore,Summer,Cotton,Black,6.29,11.1,38.0,1.31
Thanjavur,Summer,Sugarcane,Black,3.78,28.3,36.4,3.52
Trichy,Summer,Sesame,Loamy,3.77,53.2,38.6,0.26
Vellore,Kharif,Banana,Clay,7.93,162.8,25.8,5.34
Coimbatore,Summer,Millets,Alluvial,1.68,49.0,31.8,1.07
Tiruppur,Rabi,Millets,Clay,11.12,91.5,36.3,1.15
Coimbatore,Summer,Sesame,Black,5.34,84.6,27.3,1.0
Salem,Summer,Black Gram,Red,5.04,84.7,19.4,0.58
Madurai,Summer,Cotton,Loamy,9.53,81.7,18.8,1.41
Thoothukudi,Summer,Black Gram,Clay,3.89,67.3,41.7,0.66
Tiruppur,Rabi,Green Gram,Loamy,11.67,76.2,21.1,1.14
Tiruppur,Summer,Sunflower,Clay,9.72,77.7,28.2,1.01
Thanjavur,Summer,Groundnut,Clay,2.81,61.8,18.9,1.99
Dindigul,Rabi,Banana,Red,4.87,154.8,36.2,4.0
Villupuram,Kharif,Coconut,Alluvial,10.49,78.0,18.1,2.88
Dindigul,Rabi,Cotton,Loamy,8.68,56.1,31.7,1.38
Madurai,Summer,Cotton,Black,3.32,27.6,24.0,1.67
Salem,Rabi,Turmeric,Red,1.0,57.0,27.1,3.74
Dindigul,Kharif,Turmeric,Clay,9.74,102.6,28.3,2.79
Coimbatore,Kharif,Maize,Clay,5.24,204.9,18.0,2.59
Dindigul,Summer,Turmeric,Clay,4.87,30.9,41.3,0.7
Tiruppur,Kharif,Turmeric,Clay,7.9,150.0,32.3,3.97
Salem,Rabi,Green Gram,Loamy,9.53,65.8,20.2,0.76
Cuddalore,Rabi,Chilli,Clay,2.02,77.0,24.0,3.11
Tiruppur,Rabi,Sesame,Alluvial,7.1,54.5,35.4,0.7
Thoothukudi,Rabi,Banana,Clay,4.86,43.9,18.5,4.58
Trichy,Rabi,Millets,Loamy,1.69,133.4,34.1,1.07
Salem,Kharif,Groundnut,Clay,11.86,89.2,29.4,2.48
Tirunelveli,Summer,Turmeric,Alluvial,1.24,64.4,40.6,2.46
Thanjavur,Kharif,Maize,Clay,7.56,258.7,31.0,1.74
Namakkal,Summer,Groundnut,Black,3.68,77.1,32.5,1.84
Kancheepuram,Summer,Black Gram,Black,1.19,67.7,26.7,1.03
Tiruppur,Kharif,Maize,Loamy,9.25,123.7,18.2,2.48
Tiruppur,Rabi,Sugarcane,Loamy,1.83,63.5,19.1,3.72
Villupuram,Rabi,Rice,Red,7.91,156.8,20.2,4.07
Tiruppur,Summer,Groundnut,Clay,9.15,85.7,26.2,2.23
Madurai,Kharif,Ragi,Red,2.39,96.3,29.0,2.39
Tirunelveli,Rabi,Rice,Red,8.86,147.6,32.8,4.14
Namakkal,Kharif,Banana,Red,2.39,94.3,41.5,2.31
Tiruppur,Kharif,Coconut,Clay,7.86,178.9,28.0,3.35
Tirunelveli,Kharif,Green Gram,Clay,7.09,130.8,36.6,0.75
Salem,Summer,Groundnut,Alluvial,3.44,84.8,18.6,1.54
Vellore,Rabi,Sunflower,Red,4.64,87.5,34.6,1.11
Thanjavur,Summer,Rice,Clay,2.06,56.2,19.2,2.25
Villupuram,Kharif,Turmeric,Clay,9.92,194.4,24.8,5.34
Thanjavur,Summer,Turmeric,Loamy,5.0,72.6,29.8,3.67
Trichy,Summer,Ragi,Black,1.31,46.0,27.8,1.66
Thoothukudi,Summer,Banana,Alluvial,3.6,71.6,39.3,3.49
Vellore,Rabi,Groundnut,Loamy,3.76,110.3,24.3,2.83
Dindigul,Summer,Maize,Red,4.07,53.7,40.9,2.15
Vellore,Rabi,Turmeric,Clay,5.42,87.9,38.9,2.47
Namakkal,Rabi,Millets,Alluvial,11.86,62.5,36.8,1.28
Coimbatore,Rabi,Coconut,Alluvial,10.92,136.2,33.7,3.07
Vellore,Kharif,Sugarcane,Red,4.38,89.6,23.4,4.58
Erode,Kharif,Sesame,Clay,7.5,303.5,26.3,0.52
Salem,Kharif,Rice,Loamy,11.4,88.6,18.5,2.19
Madurai,Summer,Soybean,Loamy,3.72,58.1,41.4,0.59
Trichy,Kharif,Ragi,Alluvial,9.05,318.5,28.9,0.84
Vellore,Rabi,Ragi,Red,4.9,38.4,20.6,2.23
Madurai,Rabi,Green Gram,Alluvial,1.8,21.1,41.0,0.66
Vellore,Kharif,Maize,Red,10.9,227.5,29.0,2.3
Tiruppur,Kharif,Sesame,Alluvial,7.19,86.6,39.6,0.54
Namakkal,Kharif,Coconut,Red,7.77,117.1,34.9,3.19
Coimbatore,Summer,Soybean,Alluvial,6.96,54.0,30.5,1.19
Dindigul,Kharif,Green Gram,Loamy,2.55,319.5,28.4,0.94
Dindigul,Summer,Green Gram,Black,2.86,17.3,26.1,0.76
Tirunelveli,Rabi,Cotton,Alluvial,2.82,72.6,33.4,1.34
Dindigul,Rabi,Chilli,Clay,0.53,59.9,32.1,2.66
Dindigul,Kharif,Sesame,Black,5.65,141.8,22.4,0.76
Coimbatore,Kharif,Millets,Alluvial,6.59,309.9,28.3,0.81
Thoothukudi,Rabi,Sesame,Clay,8.75,53.5,21.8,0.67
Thanjavur,Rabi,Millets,Alluvial,2.64,120.4,19.1,1.0
Namakkal,Summer,Sesame,Black,4.15,103.7,41.0,0.58
Vellore,Kharif,Sugarcane,Alluvial,0.79,220.6,23.3,6.46
Thanjavur,Summer,Sugarcane,Red,6.33,26.7,20.8,3.82
Villupuram,Rabi,Sunflower,Loamy,10.74,89.5,33.6,0.82
Dindigul,Summer,Cotton,Clay,6.07,16.8,31.2,1.05
Erode,Rabi,Cotton,Alluvial,1.28,142.0,41.2,1.11
Kancheepuram,Summer,Green Gram,Loamy,9.13,45.3,38.7,0.85
Tirunelveli,Rabi,Chilli,Black,8.53,79.5,30.0,2.89
Trichy,Summer,Ragi,Clay,2.66,37.9,27.2,1.16
Villupuram,Rabi,Black Gram,Loamy,7.14,94.5,23.9,1.23
Tirunelveli,Rabi,Millets,Red,9.22,101.2,32.6,2.06
Madurai,Summer,Sesame,Loamy,5.88,77.9,33.5,0.35
Madurai,Summer,Rice,Red,10.77,96.0,39.3,1.95
Madurai,Rabi,Black Gram,Clay,7.08,102.0,32.7,0.91
Salem,Kharif,Cotton,Alluvial,7.97,155.9,19.6,1.63
Cuddalore,Kharif,Ragi,Red,1.8,255.0,28.3,1.8
Vellore,Rabi,Ragi,Black,9.57,85.7,21.6,2.46
Namakkal,Summer,Banana,Red,3.79,18.8,26.8,4.59
Madurai,Kharif,Sesame,Black,10.31,61.3,31.3,1.03
Namakkal,Summer,Rice,Clay,2.62,98.9,41.8,2.82
Madurai,Kharif,Black Gram,Clay,0.98,74.5,31.4,1.46
Dindigul,Summer,Cotton,Red,3.8,25.6,39.1,0.64
Coimbatore,Kharif,Coconut,Alluvial,3.65,264.8,28.0,4.12
Tirunelveli,Summer,Sesame,Clay,1.72,70.2,23.2,0.51
Trichy,Rabi,Turmeric,Clay,7.27,105.6,24.2,4.18
Dindigul,Summer,Soybean,Red,4.17,36.3,29.9,1.26
Tirunelveli,Summer,Rice,Alluvial,9.71,82.7,19.9,3.31
Trichy,Rabi,Black Gram,Alluvial,4.89,110.9,41.2,0.86
Namakkal,Summer,Ragi,Clay,3.17,34.4,34.0,1.13
Cuddalore,Rabi,Sunflower,Alluvial,6.36,80.0,24.0,1.5
Coimbatore,Summer,Sesame,Black,0.85,100.2,24.4,0.68
Tiruppur,Summer,Black Gram,Loamy,10.95,64.8,29.7,1.05
Coimbatore,Summer,Soybean,Alluvial,5.97,91.4,22.6,1.66
Dindigul,Kharif,Banana,Alluvial,3.69,133.0,33.6,4.36
Villupuram,Summer,Sugarcane,Loamy,0.78,55.5,36.5,4.0
Salem,Kharif,Cotton,Loamy,8.46,223.1,21.0,1.37
Madurai,Summer,Sesame,Loamy,10.6,109.1,22.2,0.44
Cuddalore,Summer,Cotton,Loamy,7.45,33.8,24.6,1.33
Dindigul,Rabi,Green Gram,Alluvial,10.59,153.6,20.9,0.76
Thanjavur,Kharif,Green Gram,Black,2.64,286.4,25.7,0.7
Thoothukudi,Rabi,Banana,Alluvial,10.12,104.7,40.1,2.96
Salem,Summer,Ragi,Black,2.13,26.1,35.1,1.82
Tiruppur,Rabi,Banana,Clay,3.33,152.2,34.5,2.89
Trichy,Kharif,Groundnut,Clay,2.48,303.4,41.2,0.94
Tiruppur,Summer,Black Gram,Black,10.06,53.8,19.9,1.04
Salem,Kharif,Chilli,Alluvial,11.14,131.8,35.5,2.69
Thoothukudi,Summer,Groundnut,Red,4.23,87.5,27.9,2.22
Thanjavur,Summer,Sunflower,Black,11.23,80.2,21.3,1.27
Tiruppur,Summer,Soybean,Alluvial,2.56,38.4,26.8,1.47
Namakkal,Summer,Millets,Alluvial,5.61,40.1,29.2,1.62
Kancheepuram,Rabi,Sesame,Black,8.06,48.5,38.2,0.58
Erode,Kharif,Chilli,Red,11.76,60.8,26.1,4.02
Dindigul,Kharif,Sesame,Loamy,3.03,132.3,39.2,0.33
Villupuram,Kharif,Turmeric,Black,5.98,102.5,26.6,4.48
Tiruppur,Rabi,Rice,Alluvial,3.97,121.2,18.3,3.54
Tiruppur,Rabi,Green Gram,Red,7.86,40.5,36.9,1.01
Villupuram,Kharif,Black Gram,Black,9.24,209.1,27.1,1.28
Erode,Rabi,Cotton,Black,11.46,68.8,31.2,2.09
Dindigul,Rabi,Sesame,Clay,7.81,75.8,31.8,0.79
Thanjavur,Kharif,Chilli,Loamy,7.94,200.4,33.4,2.31
Coimbatore,Summer,Millets,Red,9.51,89.6,20.7,1.05
Madurai,Rabi,Cotton,Black,9.88,44.7,31.7,1.89
Tirunelveli,Kharif,Groundnut,Red,11.38,209.2,40.8,1.63
Namakkal,Rabi,Turmeric,Loamy,2.78,61.5,35.8,3.03
Thoothukudi,Summer,Chilli,Clay,4.21,85.2,26.6,2.36
Coimbatore,Rabi,Chilli,Clay,3.25,136.1,26.9,3.16
Coimbatore,Summer,Groundnut,Clay,10.4,21.2,39.3,0.66
Tiruppur,Rabi,Coconut,Loamy,7.09,68.3,20.9,2.45
Madurai,Summer,Banana,Black,8.37,88.8,29.7,3.93
Cuddalore,Summer,Sugarcane,Black,0.77,99.0,31.0,6.27
Madurai,Rabi,Maize,Loamy,5.51,29.0,23.3,3.46
Madurai,Summer,Millets,Alluvial,6.16,86.0,31.2,1.14
Thanjavur,Kharif,Cotton,Black,3.75,292.6,20.2,1.22
Erode,Kharif,Cotton,Black,8.4,290.7,24.7,1.33
Vellore,Kharif,Green Gram,Alluvial,3.14,116.1,35.5,1.04
Tiruppur,Kharif,Banana,Clay,10.91,64.5,23.6,4.35
Cuddalore,Summer,Chilli,Clay,2.43,92.7,23.0,2.19
Coimbatore,Kharif,Turmeric,Loamy,2.61,130.1,34.9,3.85
Tiruppur,Summer,Green Gram,Black,7.01,80.4,22.3,0.99
Madurai,Rabi,Sunflower,Clay,3.4,82.4,26.1,1.48
Erode,Kharif,Groundnut,Black,8.93,298.5,39.7,0.47
Dindigul,Summer,Cotton,Black,4.31,84.1,26.7,2.2
Madurai,Rabi,Turmeric,Clay,1.57,51.2,33.9,2.48
Salem,Summer,Ragi,Clay,10.44,34.5,38.5,1.08
Tiruppur,Summer,Sunflower,Clay,6.54,89.3,30.5,0.71
Coimbatore,Rabi,Maize,Alluvial,2.3,57.1,39.4,1.93
Erode,Rabi,Rice,Black,9.75,115.9,25.1,3.55
Thanjavur,Kharif,Sunflower,Clay,8.57,207.8,28.0,0.68
Namakkal,Summer,Sesame,Black,10.5,86.0,36.1,0.68
Madurai,Rabi,Green Gram,Black,8.31,75.6,22.7,0.93
Salem,Kharif,Coconut,Black,4.93,172.8,38.0,2.47
Thanjavur,Rabi,Millets,Clay,6.03,99.0,40.7,1.16
Coimbatore,Kharif,Soybean,Loamy,7.08,205.3,25.0,2.0
Dindigul,Kharif,Soybean,Alluvial,7.01,216.4,25.4,1.69
Vellore,Summer,Turmeric,Clay,9.86,36.5,29.9,3.47
Dindigul,Rabi,Rice,Red,3.04,157.8,19.3,3.28
Thoothukudi,Kharif,Cotton,Alluvial,3.02,183.0,26.5,1.42
Tirunelveli,Rabi,Sesame,Alluvial,7.6,28.1,24.0,0.79
Thoothukudi,Kharif,Sunflower,Black,9.11,231.7,31.7,0.77
Cuddalore,Summer,Sugarcane,Black,4.87,80.6,29.4,6.69
Madurai,Summer,Soybean,Alluvial,8.2,65.3,18.2,0.93
Villupuram,Kharif,Sugarcane,Red,6.22,267.8,23.3,5.72
Dindigul,Summer,Green Gram,Red,10.09,56.7,30.0,1.19
Erode,Rabi,Sesame,Red,7.88,51.2,29.7,0.86
Kancheepuram,Rabi,Sugarcane,Red,7.69,101.1,20.1,4.01
Villupuram,Summer,Black Gram,Red,8.28,96.9,18.9,0.78
Dindigul,Summer,Black Gram,Red,1.14,43.1,26.2,1.06
Vellore,Summer,Cotton,Clay,9.24,92.0,37.0,0.91
Madurai,Summer,Sesame,Loamy,11.5,33.8,30.1,0.79
Dindigul,Summer,Sesame,Alluvial,3.6,53.8,19.4,0.53
Coimbatore,Rabi,Groundnut,Clay,2.46,132.4,29.7,1.44
Thanjavur,Kharif,Green Gram,Alluvial,4.78,258.2,22.7,0.75
Villupuram,Summer,Sugarcane,Alluvial,9.8,32.1,41.5,3.86
Madurai,Kharif,Millets,Alluvial,0.65,263.6,38.3,1.06
Coimbatore,Rabi,Coconut,Red,4.83,40.1,33.8,3.11
Villupuram,Summer,Millets,Red,1.31,83.6,37.6,1.22
Salem,Rabi,Millets,Alluvial,3.36,145.7,34.3,1.07
Cuddalore,Rabi,Soybean,Red,2.46,39.5,35.5,1.02
Salem,Rabi,Green Gram,Red,11.38,147.6,34.0,0.92
Salem,Rabi,Soybean,Black,3.41,31.3,37.2,1.32
Villupuram,Rabi,Millets,Alluvial,3.98,22.1,21.8,1.4
Tirunelveli,Kharif,Sugarcane,Red,4.62,204.2,21.4,3.83
Villupuram,Summer,Sunflower,Red,7.0,49.8,20.4,1.37
Madurai,Rabi,Millets,Loamy,6.01,105.4,22.1,0.93
Madurai,Rabi,Millets,Loamy,5.64,58.6,37.8,1.19
Thanjavur,Summer,Soybean,Alluvial,1.51,12.5,36.0,0.72
Coimbatore,Rabi,Black Gram,Red,5.15,35.8,36.7,1.34
Cuddalore,Kharif,Banana,Alluvial,9.57,151.8,27.3,6.34
Villupuram,Rabi,Cotton,Clay,11.38,135.1,36.2,0.95
Madurai,Summer,Rice,Clay,1.0,46.4,35.3,2.39
Dindigul,Kharif,Rice,Red,9.03,123.7,21.3,3.57
Tirunelveli,Kharif,Sugarcane,Alluvial,6.17,243.1,32.5,7.81
Thoothukudi,Rabi,Ragi,Clay,4.7,134.2,28.5,1.26
Thanjavur,Summer,Turmeric,Black,0.52,39.4,40.1,2.19
Coimbatore,Summer,Banana,Black,2.75,30.9,21.2,3.86
Coimbatore,Kharif,Soybean,Alluvial,10.12,245.8,18.0,1.11
Cuddalore,Kharif,Maize,Clay,11.73,241.5,29.0,2.67
Thoothukudi,Summer,Rice,Alluvial,2.95,59.9,39.2,1.7
Thoothukudi,Kharif,Ragi,Loamy,3.99,207.1,41.8,1.04
Cuddalore,Kharif,Turmeric,Black,9.04,81.5,27.2,2.85
Kancheepuram,Rabi,Sunflower,Loamy,11.95,90.5,25.8,1.42
Salem,Summer,Sesame,Alluvial,9.01,42.0,29.5,0.6
Thanjavur,Kharif,Rice,Black,9.39,316.2,38.5,2.54
Villupuram,Rabi,Sesame,Black,4.62,59.3,34.8,0.97
Trichy,Kharif,Banana,Clay,3.14,271.3,24.4,4.67
Thanjavur,Rabi,Groundnut,Red,9.04,143.7,33.7,1.94
Kancheepuram,Kharif,Sugarcane,Loamy,2.33,185.4,19.6,4.94
Vellore,Summer,Ragi,Alluvial,0.63,83.5,28.4,1.7
Namakkal,Rabi,Green Gram,Loamy,4.64,46.5,26.9,0.98
Thoothukudi,Summer,Ragi,Clay,11.04,35.9,39.2,0.77
Trichy,Summer,Soybean,Loamy,0.86,73.6,36.7,0.66
Cuddalore,Rabi,Ragi,Black,5.07,34.7,28.4,1.77
Thoothukudi,Summer,Rice,Black,4.27,71.3,21.9,2.71
Namakkal,Kharif,Rice,Alluvial,8.14,155.9,31.3,3.91
Tirunelveli,Kharif,Millets,Loamy,11.13,161.3,19.3,0.59
Cuddalore,Rabi,Green Gram,Loamy,7.99,92.2,29.5,1.14
Kancheepuram,Kharif,Sugarcane,Red,8.5,125.9,29.2,6.11
Kancheepuram,Rabi,Green Gram,Alluvial,1.66,134.4,37.8,0.68
Coimbatore,Summer,Sugarcane,Alluvial,10.81,95.3,39.0,3.69
Coimbatore,Summer,Green Gram,Loamy,4.9,96.2,21.9,1.17
Tiruppur,Kharif,Sugarcane,Loamy,10.31,230.9,37.2,5.07
Kancheepuram,Summer,Maize,Clay,1.79,25.0,31.6,3.25
Salem,Summer,Sugarcane,Loamy,7.13,15.3,31.7,5.58
Namakkal,Kharif,Green Gram,Alluvial,6.93,248.7,23.4,0.62
Dindigul,Rabi,Soybean,Alluvial,2.11,80.3,34.5,1.01
Madurai,Rabi,Groundnut,Red,5.46,62.0,19.0,2.13
Tiruppur,Summer,Chilli,Loamy,7.96,15.8,33.8,2.79
Coimbatore,Summer,Ragi,Red,6.6,26.2,39.1,1.56
Coimbatore,Rabi,Turmeric,Black,0.76,141.3,28.1,4.53
Vellore,Rabi,Coconut,Red,9.68,149.2,37.0,2.38
Coimbatore,Kharif,Sugarcane,Black,9.51,169.7,40.5,5.38
Trichy,Kharif,Chilli,Black,3.53,193.1,28.3,2.12
Namakkal,Summer,Banana,Red,1.38,25.6,20.9,4.05
Coimbatore,Summer,Maize,Clay,8.42,25.5,36.5,2.53
Coimbatore,Summer,Green Gram,Clay,6.01,99.7,35.3,1.29
Trichy,Rabi,Sunflower,Red,9.33,139.2,37.1,0.55
Tiruppur,Rabi,Sunflower,Black,3.51,110.7,19.6,1.87
Dindigul,Kharif,Soybean,Clay,1.36,252.7,39.5,0.65
